2Th_lab5
Number of tasks = 32
Only need 2 tasks - extra will be ignored...
task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 439  1449520449.99214101  1449520449.99217010  0.00002909
 440  1449520449.99217391  1449520449.99220204  0.00002813
 441  1449520449.99220610  1449520449.99223399  0.00002789
 442  1449520449.99223804  1449520449.99226689  0.00002885
 443  1449520449.99227095  1449520449.99229908  0.00002813
 444  1449520449.99230289  1449520449.99233198  0.00002909
 445  1449520449.99233508  1449520449.99236393  0.00002885
 446  1449520449.99236798  1449520449.99239707  0.00002909
 447  1449520449.99240088  1449520449.99242997  0.00002909
 448  1449520449.99243307  1449520449.99246192  0.00002885
 449  1449520449.99246597  1449520449.99249506  0.00002909
 450  1449520449.99249911  1449520449.99252701  0.00002789
 451  1449520449.99253106  1449520449.99257398  0.00004292
 452  1449520449.99257994  1449520449.99260998  0.00003004
 453  1449520449.99261403  1449520449.99264312  0.00002909
 454  1449520449.99264693  1449520449.99267507  0.00002813
 455  1449520449.99267912  1449520449.99270701  0.00002789
 456  1449520449.99271107  1449520449.99273992  0.00002885
 457  1449520449.99274397  1449520449.99277306  0.00002909
 458  1449520449.99277711  1449520449.99280810  0.00003099
 459  1449520449.99281096  1449520449.99284005  0.00002909
 460  1449520449.99284410  1449520449.99287200  0.00002789
 461  1449520449.99287605  1449520449.99290490  0.00002885
 462  1449520449.99290895  1449520449.99293709  0.00002813
 463  1449520449.99294090  1449520449.99296999  0.00002909
 464  1449520449.99297309  1449520449.99300194  0.00002885
 465  1449520449.99300599  1449520449.99303508  0.00002909
 466  1449520449.99303889  1449520449.99306703  0.00002813
 467  1449520449.99307108  1449520449.99309897  0.00002789
 468  1449520449.99310303  1449520449.99313092  0.00002789
 469  1449520449.99313498  1449520449.99316406  0.00002909
 470  1449520449.99316812  1449520449.99319601  0.00002789
 471  1449520449.99320006  1449520449.99322796  0.00002789
 472  1449520449.99323201  1449520449.99326110  0.00002909
 473  1449520449.99326396  1449520449.99329305  0.00002909
 474  1449520449.99329591  1449520449.99332500  0.00002909
 475  1449520449.99332905  1449520449.99335790  0.00002885
 476  1449520449.99336195  1449520449.99339104  0.00002909
 477  1449520449.99339390  1449520449.99342299  0.00002909
 478  1449520449.99342704  1449520449.99345493  0.00002789
 479  1449520449.99345899  1449520449.99348688  0.00002789
 480  1449520449.99349093  1449520449.99352098  0.00003004
 481  1449520449.99352407  1449520449.99357510  0.00005102
 482  1449520449.99358010  1449520449.99360991  0.00002980
 483  1449520449.99361396  1449520449.99364305  0.00002909
 484  1449520449.99364710  1449520449.99367595  0.00002885
 485  1449520449.99368000  1449520449.99370790  0.00002789
 486  1449520449.99371195  1449520449.99374008  0.00002813
 487  1449520449.99374390  1449520449.99377298  0.00002909
 488  1449520449.99377608  1449520449.99381208  0.00003600
 489  1449520449.99381590  1449520449.99384689  0.00003099
 490  1449520449.99385095  1449520449.99387908  0.00002813
 491  1449520449.99388289  1449520449.99391198  0.00002909
 492  1449520449.99391603  1449520449.99394488  0.00002885
 493  1449520449.99394894  1449520449.99397802  0.00002909
 494  1449520449.99398208  1449520449.99400997  0.00002789
 495  1449520449.99401402  1449520449.99404192  0.00002789
 496  1449520449.99404597  1449520449.99407506  0.00002909
 497  1449520449.99407911  1449520449.99410796  0.00002885
 498  1449520449.99411201  1449520449.99414110  0.00002909
 499  1449520449.99414492  1449520449.99417305  0.00002813
 500  1449520449.99417710  1449520449.99420500  0.00002789
 501  1449520449.99420905  1449520449.99423790  0.00002885
 502  1449520449.99424100  1449520449.99427009  0.00002909
 503  1449520449.99427390  1449520449.99430299  0.00002909
 504  1449520449.99430704  1449520449.99433589  0.00002885
 505  1449520449.99433899  1449520449.99436808  0.00002909
 506  1449520449.99437094  1449520449.99440002  0.00002909
 507  1449520449.99440408  1449520449.99443197  0.00002789
 508  1449520449.99443603  1449520449.99446511  0.00002909
 509  1449520449.99446893  1449520449.99449706  0.00002813
 510  1449520449.99449992  1449520449.99452901  0.00002909
 511  1449520449.99453306  1449520449.99457693  0.00004387
 512  1449520449.99458289  1449520449.99461389  0.00003099
 513  1449520449.99461794  1449520449.99464607  0.00002813
 514  1449520449.99464989  1449520449.99467802  0.00002813
 515  1449520449.99468207  1449520449.99471092  0.00002885
 516  1449520449.99471498  1449520449.99474406  0.00002909
 517  1449520449.99474692  1449520449.99477601  0.00002909
 518  1449520449.99477911  1449520449.99480796  0.00002885
 519  1449520449.99481201  1449520449.99484110  0.00002909
 520  1449520449.99484491  1449520449.99487400  0.00002909
 521  1449520449.99487710  1449520449.99490690  0.00002980
 522  1449520449.99491000  1449520449.99493909  0.00002909
 523  1449520449.99494195  1449520449.99497104  0.00002909
 524  1449520449.99497509  1449520449.99500299  0.00002789
 525  1449520449.99500704  1449520449.99503493  0.00002789
 526  1449520449.99503899  1449520449.99506688  0.00002789
 527  1449520449.99507093  1449520449.99509907  0.00002813
 528  1449520449.99510288  1449520449.99513197  0.00002909
 529  1449520449.99513602  1449520449.99516392  0.00002789
 530  1449520449.99516797  1449520449.99519706  0.00002909
 531  1449520449.99519992  1449520449.99522901  0.00002909
 532  1449520449.99523306  1449520449.99526095  0.00002789
 533  1449520449.99526501  1449520449.99529505  0.00003004
 534  1449520449.99529910  1449520449.99532700  0.00002789
 535  1449520449.99533105  1449520449.99535894  0.00002789
 536  1449520449.99536300  1449520449.99539089  0.00002789
 537  1449520449.99539495  1449520449.99542308  0.00002813
 538  1449520449.99542689  1449520449.99545598  0.00002909
 539  1449520449.99545908  1449520449.99548697  0.00002789
 540  1449520449.99549103  1449520449.99552011  0.00002909
 541  1449520449.99552298  1449520449.99557495  0.00005198
 542  1449520449.99558091  1449520449.99561095  0.00003004
 543  1449520449.99561501  1449520449.99564409  0.00002909
 544  1449520449.99564695  1449520449.99567604  0.00002909
 545  1449520449.99568009  1449520449.99570894  0.00002885
 546  1449520449.99571204  1449520449.99574089  0.00002885
 547  1449520449.99574399  1449520449.99577308  0.00002909
 548  1449520449.99577689  1449520449.99580693  0.00003004
 549  1449520449.99581099  1449520449.99583912  0.00002813
 550  1449520449.99584293  1449520449.99587202  0.00002909
 551  1449520449.99587607  1449520449.99590397  0.00002789
 552  1449520449.99590802  1449520449.99593711  0.00002909
 553  1449520449.99593997  1449520449.99596906  0.00002909
 554  1449520449.99597311  1449520449.99600196  0.00002885
 555  1449520449.99600601  1449520449.99603510  0.00002909
 556  1449520449.99603796  1449520449.99606705  0.00002909
 557  1449520449.99607110  1449520449.99609995  0.00002885
 558  1449520449.99610400  1449520449.99613190  0.00002789
 559  1449520449.99613595  1449520449.99616504  0.00002909
 560  1449520449.99616790  1449520449.99619699  0.00002909
 561  1449520449.99620104  1449520449.99622989  0.00002885
 562  1449520449.99623299  1449520449.99626207  0.00002909
 563  1449520449.99626589  1449520449.99629402  0.00002813
 564  1449520449.99629807  1449520449.99632597  0.00002789
 565  1449520449.99633002  1449520449.99635911  0.00002909
 566  1449520449.99636197  1449520449.99639106  0.00002909
 567  1449520449.99639511  1449520449.99642301  0.00002789
 568  1449520449.99642706  1449520449.99645591  0.00002885
 569  1449520449.99645901  1449520449.99648809  0.00002909
 570  1449520449.99649191  1449520449.99652100  0.00002909
 571  1449520449.99652410  1449520449.99657702  0.00005293
 572  1449520449.99658298  1449520449.99661398  0.00003099
 573  1449520449.99661803  1449520449.99664688  0.00002885
 574  1449520449.99665093  1449520449.99667907  0.00002813
 575  1449520449.99668288  1449520449.99671102  0.00002813
 576  1449520449.99671507  1449520449.99674392  0.00002885
 577  1449520449.99674702  1449520449.99677610  0.00002909
 578  1449520449.99677992  1449520449.99680901  0.00002909
 579  1449520449.99681306  1449520449.99684501  0.00003195
 580  1449520449.99684906  1449520449.99687696  0.00002789
 581  1449520449.99688101  1449520449.99690890  0.00002789
 582  1449520449.99691296  1449520449.99694109  0.00002813
 583  1449520449.99694490  1449520449.99697304  0.00002813
 584  1449520449.99697709  1449520449.99700594  0.00002885
 585  1449520449.99700999  1449520449.99703789  0.00002789
 586  1449520449.99704194  1449520449.99707103  0.00002909
 587  1449520449.99707389  1449520449.99710298  0.00002909
 588  1449520449.99710608  1449520449.99713492  0.00002885
 589  1449520449.99713898  1449520449.99716711  0.00002813
 590  1449520449.99717093  1449520449.99720001  0.00002909
 591  1449520449.99720311  1449520449.99723196  0.00002885
 592  1449520449.99723506  1449520449.99726391  0.00002885
 593  1449520449.99726796  1449520449.99729609  0.00002813
 594  1449520449.99729991  1449520449.99732804  0.00002813
 595  1449520449.99733210  1449520449.99736094  0.00002885
 596  1449520449.99736404  1449520449.99739289  0.00002885
 597  1449520449.99739599  1449520449.99742508  0.00002909
 598  1449520449.99742889  1449520449.99745703  0.00002813
 599  1449520449.99746108  1449520449.99748898  0.00002789
 600  1449520449.99749303  1449520449.99752212  0.00002909
 601  1449520449.99752498  1449520449.99757504  0.00005007
 602  1449520449.99758005  1449520449.99761200  0.00003195
 603  1449520449.99761605  1449520449.99764395  0.00002789
 604  1449520449.99764800  1449520449.99767590  0.00002789
 605  1449520449.99767995  1449520449.99770904  0.00002909
 606  1449520449.99771309  1449520449.99774194  0.00002885
 607  1449520449.99774504  1449520449.99777293  0.00002789
 608  1449520449.99777699  1449520449.99780703  0.00003004
 609  1449520449.99781108  1449520449.99783993  0.00002885
 610  1449520449.99784398  1449520449.99787211  0.00002813
 611  1449520449.99787593  1449520449.99790502  0.00002909
 612  1449520449.99790907  1449520449.99793792  0.00002885
 613  1449520449.99794197  1449520449.99797106  0.00002909
 614  1449520449.99797392  1449520449.99800301  0.00002909
 615  1449520449.99800611  1449520449.99803400  0.00002789
 616  1449520449.99803805  1449520449.99806690  0.00002885
 617  1449520449.99807000  1449520449.99809909  0.00002909
 618  1449520449.99810290  1449520449.99813199  0.00002909
 619  1449520449.99813509  1449520449.99816298  0.00002789
 620  1449520449.99816704  1449520449.99819589  0.00002885
 621  1449520449.99819994  1449520449.99822807  0.00002813
 622  1449520449.99823189  1449520449.99826002  0.00002813
 623  1449520449.99826407  1449520449.99829292  0.00002885
 624  1449520449.99829698  1449520449.99832511  0.00002813
 625  1449520449.99832892  1449520449.99835801  0.00002909
 626  1449520449.99836206  1449520449.99838996  0.00002789
 627  1449520449.99839401  1449520449.99842191  0.00002789
 628  1449520449.99842596  1449520449.99845409  0.00002813
 629  1449520449.99845791  1449520449.99848700  0.00002909
 630  1449520449.99849105  1449520449.99851894  0.00002789
 631  1449520449.99852300  1449520449.99857807  0.00005507
 632  1449520449.99858308  1449520449.99861407  0.00003099
 633  1449520449.99861789  1449520449.99864697  0.00002909
 634  1449520449.99865007  1449520449.99867892  0.00002885
 635  1449520449.99868202  1449520449.99871111  0.00002909
 636  1449520449.99871492  1449520449.99874401  0.00002909
 637  1449520449.99874806  1449520449.99877596  0.00002789
 638  1449520449.99877906  1449520449.99880791  0.00002885
 639  1449520449.99881196  1449520449.99884105  0.00002909
 640  1449520449.99884391  1449520449.99887300  0.00002909
 641  1449520449.99887705  1449520449.99890590  0.00002885
 642  1449520449.99890900  1449520449.99893808  0.00002909
 643  1449520449.99894094  1449520449.99897003  0.00002909
 644  1449520449.99897408  1449520449.99900198  0.00002789
 645  1449520449.99900603  1449520449.99903393  0.00002789
 646  1449520449.99903798  1449520449.99906707  0.00002909
 647  1449520449.99906993  1449520449.99909806  0.00002813
 648  1449520449.99910212  1449520449.99913096  0.00002885
 649  1449520449.99913406  1449520449.99916291  0.00002885
 650  1449520449.99916697  1449520449.99919510  0.00002813
 651  1449520449.99919891  1449520449.99922705  0.00002813
 652  1449520449.99923110  1449520449.99925900  0.00002789
 653  1449520449.99926305  1449520449.99929094  0.00002789
 654  1449520449.99929500  1449520449.99932408  0.00002909
 655  1449520449.99932790  1449520449.99935603  0.00002813
 656  1449520449.99936008  1449520449.99938893  0.00002885
 657  1449520449.99939299  1449520449.99942088  0.00002789
 658  1449520449.99942493  1449520449.99945402  0.00002909
 659  1449520449.99945688  1449520449.99948597  0.00002909
 660  1449520449.99949002  1449520449.99951792  0.00002789
 661  1449520449.99952197  1449520449.99957490  0.00005293
 662  1449520449.99957991  1449520449.99961090  0.00003099
 663  1449520449.99961400  1449520449.99964309  0.00002909
 664  1449520449.99964690  1449520449.99967504  0.00002813
 665  1449520449.99967909  1449520449.99970698  0.00002789
 666  1449520449.99971104  1449520449.99973989  0.00002885
 667  1449520449.99974394  1449520449.99977303  0.00002909
 668  1449520449.99977708  1449520449.99980593  0.00002885
 669  1449520449.99980903  1449520449.99983907  0.00003004
 670  1449520449.99984288  1449520449.99987102  0.00002813
 671  1449520449.99987507  1449520449.99990296  0.00002789
 672  1449520449.99990606  1449520449.99993491  0.00002885
 673  1449520449.99993896  1449520449.99996805  0.00002909
 674  1449520449.99997091  1449520450.00000000  0.00002909
 675  1449520450.00000405  1449520450.00003195  0.00002789
 676  1449520450.00003600  1449520450.00006509  0.00002909
 677  1449520450.00006795  1449520450.00009704  0.00002909
 678  1449520450.00010109  1449520450.00012898  0.00002789
 679  1449520450.00013304  1449520450.00016093  0.00002789
 680  1449520450.00016499  1449520450.00019407  0.00002909
 681  1449520450.00019693  1449520450.00022602  0.00002909
 682  1449520450.00022888  1449520450.00025797  0.00002909
 683  1449520450.00026107  1449520450.00028992  0.00002885
 684  1449520450.00029302  1449520450.00032210  0.00002909
 685  1449520450.00032496  1449520450.00035501  0.00003004
 686  1449520450.00035810  1449520450.00038695  0.00002885
 687  1449520450.00039005  1449520450.00041795  0.00002789
 688  1449520450.00042200  1449520450.00045109  0.00002909
 689  1449520450.00045395  1449520450.00048304  0.00002909
 690  1449520450.00048709  1449520450.00051498  0.00002789
 691  1449520450.00051904  1449520450.00057793  0.00005889
 692  1449520450.00058389  1449520450.00061488  0.00003099
 693  1449520450.00061798  1449520450.00064707  0.00002909
 694  1449520450.00064993  1449520450.00067997  0.00003004
 695  1449520450.00068307  1449520450.00071096  0.00002789
 696  1449520450.00071502  1449520450.00074410  0.00002909
 697  1449520450.00074792  1449520450.00077605  0.00002813
 698  1449520450.00077891  1449520450.00081205  0.00003314
 699  1449520450.00081491  1449520450.00084400  0.00002909
 700  1449520450.00084710  1449520450.00087595  0.00002885
 701  1449520450.00087905  1449520450.00090694  0.00002789
 702  1449520450.00091100  1449520450.00094008  0.00002909
 703  1449520450.00094295  1449520450.00097108  0.00002813
 704  1449520450.00097489  1449520450.00100303  0.00002813
 705  1449520450.00100589  1449520450.00103498  0.00002909
 706  1449520450.00103807  1449520450.00106597  0.00002789
 707  1449520450.00107002  1449520450.00109792  0.00002789
 708  1449520450.00110197  1449520450.00113010  0.00002813
 709  1449520450.00113392  1449520450.00116205  0.00002813
 710  1449520450.00116611  1449520450.00119400  0.00002789
 711  1449520450.00119805  1449520450.00122595  0.00002789
 712  1449520450.00123000  1449520450.00126004  0.00003004
 713  1449520450.00126410  1449520450.00129199  0.00002789
 714  1449520450.00129604  1449520450.00132489  0.00002885
 715  1449520450.00132799  1449520450.00135708  0.00002909
 716  1449520450.00135994  1449520450.00138807  0.00002813
 717  1449520450.00139189  1449520450.00142097  0.00002909
 718  1449520450.00142503  1449520450.00145292  0.00002789
 719  1449520450.00145602  1449520450.00148511  0.00002909
 720  1449520450.00148892  1449520450.00151801  0.00002909
 721  1449520450.00152111  1449520450.00157499  0.00005388
 722  1449520450.00158095  1449520450.00161099  0.00003004
 723  1449520450.00161409  1449520450.00164294  0.00002885
 724  1449520450.00164604  1449520450.00167489  0.00002885
 725  1449520450.00167799  1449520450.00170708  0.00002909
 726  1449520450.00171089  1449520450.00173998  0.00002909
 727  1449520450.00174308  1449520450.00177193  0.00002885
 728  1449520450.00177598  1449520450.00182390  0.00004792
 729  1449520450.00182700  1449520450.00185609  0.00002909
 730  1449520450.00185990  1449520450.00188804  0.00002813
 731  1449520450.00189209  1449520450.00191998  0.00002789
 732  1449520450.00192404  1449520450.00195289  0.00002885
 733  1449520450.00195599  1449520450.00198507  0.00002909
 734  1449520450.00198793  1449520450.00201702  0.00002909
 735  1449520450.00202107  1449520450.00204992  0.00002885
 736  1449520450.00205302  1449520450.00208092  0.00002789
 737  1449520450.00208497  1449520450.00211310  0.00002813
 738  1449520450.00211692  1449520450.00214505  0.00002813
 739  1449520450.00214911  1449520450.00217700  0.00002789
 740  1449520450.00218105  1449520450.00220895  0.00002789
 741  1449520450.00221300  1449520450.00224209  0.00002909
 742  1449520450.00224495  1449520450.00227404  0.00002909
 743  1449520450.00227690  1449520450.00230598  0.00002909
 744  1449520450.00231004  1449520450.00233889  0.00002885
 745  1449520450.00234294  1449520450.00237203  0.00002909
 746  1449520450.00237489  1449520450.00240397  0.00002909
 747  1449520450.00240707  1449520450.00243497  0.00002789
 748  1449520450.00243902  1449520450.00246692  0.00002789
 749  1449520450.00247097  1449520450.00249910  0.00002813
 750  1449520450.00250292  1449520450.00253105  0.00002813
 751  1449520450.00253510  1449520450.00257611  0.00004101
 752  1449520450.00258088  1449520450.00261092  0.00003004
 753  1449520450.00261497  1449520450.00264311  0.00002813
